genre;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
blues;0.883;0.446;0;-10.304;1;0.0574;0.462;1.03e-06;0.0447;0.964;112.635
blues;0.506;0.481;8;-15.4;1;0.0283;0.0583;6.5e-06;0.344;0.888;90.015
blues;0.48;0.303;5;-13.675;1;0.0384;0.812;0.0;0.0889;0.643;98.282
blues;0.612;0.117;9;-15.357;1;0.177;0.99;0.00031;0.0788;0.781;172.444
blues;0.541;0.188;3;-21.207;1;0.0691;0.979;0.384;0.117;0.47;101.641
blues;0.756;0.926;1;-8.525;1;0.13;0.751;0.429;0.936;0.701;132.326
blues;0.599;0.0424;4;-12.099;1;0.0572;0.996;0.00176;0.185;0.186;90.001
blues;0.515;0.477;2;-9.564;1;0.0298;0.724;0.0326;0.22;0.494;86.202
blues;0.671;0.176;0;-17.99;0;0.0498;0.751;0.00595;0.125;0.746;112.017
blues;0.712;0.237;7;-13.898;1;0.0567;0.878;0.000601;0.101;0.751;114.302
blues;0.66;0.696;9;-7.096;1;0.0367;0.448;0.00194;0.0621;0.598;110.016
blues;0.585;0.548;2;-6.4;0;0.0374;0.706;1.17e-05;0.156;0.665;117.78
blues;0.722;0.181;2;-17.643;0;0.0891;0.923;1.21e-06;0.148;0.58;62.02
blues;0.504;0.438;11;-12.681;1;0.0338;0.905;0.102;0.143;0.822;103.266
blues;0.775;0.499;4;-7.181;1;0.0415;0.496;0.0219;0.114;0.862;121.056
blues;0.499;0.132;4;-17.278;0;0.0403;0.852;0.00108;0.0621;0.362;89.165
blues;0.608;0.565;2;-7.807;1;0.0411;0.684;0.00136;0.145;0.775;87.583
blues;0.496;0.141;2;-13.497;1;0.0436;0.989;1.34e-05;0.157;0.367;110.707
blues;0.393;0.132;4;-18.825;0;0.0321;0.0776;0.108;0.0956;0.293;87.168
blues;0.725;0.694;10;-6.987;0;0.0542;0.285;0.000175;0.326;0.808;87.567
blues;0.665;0.63;10;-6.068;0;0.0613;0.549;4.57e-05;0.0864;0.825;153.212
blues;0.618;0.748;3;-9.454;1;0.0327;0.642;0.0484;0.0785;0.904;120.8
blues;0.622;0.239;5;-18.982;0;0.0447;0.859;0.051;0.109;0.737;79.674
classical;0.454;0.0139;4;-29.966;0;0.0514;0.995;0.943;0.0736;0.244;130.253
classical;0.0939;0.0336;2;-24.041;0;0.0606;0.927;0.83;0.0954;0.0516;67.359
classical;0.184;0.00527;1;-37.264;0;0.0432;0.995;0.887;0.173;0.151;170.612
classical;0.335;0.00532;1;-31.646;1;0.0376;0.994;0.912;0.0621;0.0397;65.832
classical;0.17;0.0479;2;-27.021;1;0.0438;0.981;0.906;0.0795;0.0304;75.664
classical;0.0859;0.0653;5;-24.541;1;0.0572;0.972;0.889;0.0876;0.068;61.538
classical;0.442;0.00919;3;-32.452;1;0.047;0.984;0.936;0.0873;0.0929;79.314
classical;0.182;0.0603;6;-25.046;1;0.0459;0.852;0.411;0.145;0.141;98.799
classical;0.194;0.0324;5;-28.215;1;0.0382;0.982;0.961;0.0916;0.0596;144.13
classical;0.296;0.0435;0;-29.73;1;0.0411;0.987;0.857;0.0786;0.0302;72.282
classical;0.299;0.00626;9;-30.923;1;0.0478;0.994;0.901;0.0823;0.0634;69.043
classical;0.0666;0.0211;1;-24.057;1;0.0398;0.984;0.685;0.0999;0.132;73.377
classical;0.251;0.219;7;-16.781;1;0.0323;0.929;0.933;0.0824;0.0965;89.997
classical;0.48;0.163;5;-19.117;0;0.0645;0.81;0.754;0.093;0.212;158.366
classical;0.265;0.0156;11;-31.633;0;0.045;0.987;0.949;0.365;0.0359;71.978
classical;0.25;0.135;9;-18.615;1;0.0488;0.958;0.0349;0.0477;0.179;94.404
classical;0.0754;0.0102;4;-35.69;1;0.0464;0.901;0.106;0.0817;0.0331;81.324
classical;0.112;0.196;8;-14.767;1;0.0418;0.966;0.802;0.117;0.0363;89.321
classical;0.273;0.00573;9;-39.245;1;0.0493;0.994;0.913;0.0857;0.174;91.621
classical;0.469;0.0128;7;-36.856;1;0.119;0.994;0.937;0.0941;0.354;72.765
classical;0.355;0.0164;3;-28.659;1;0.0396;0.995;0.926;0.0986;0.0922;67.946
classical;0.138;0.0126;5;-28.316;1;0.0521;0.992;0.787;0.0713;0.0343;174.084
classical;0.233;0.0252;2;-24.824;1;0.0346;0.975;0.601;0.143;0.0936;94.736
classical;0.0724;0.0659;3;-19.545;1;0.0408;0.947;0.866;0.109;0.0366;70.285
classical;0.356;0.207;10;-17.76;1;0.0388;0.95;0.914;0.0802;0.328;146.755
classical;0.124;0.0978;4;-22.849;0;0.0432;0.952;0.218;0.112;0.0433;96.309
classical;0.169;0.0974;3;-21.414;1;0.042;0.864;0.632;0.087;0.0524;170.379
classical;0.0982;0.0575;6;-24.448;0;0.0454;0.984;0.904;0.122;0.0392;70.041
classical;0.183;0.0465;4;-22.96;0;0.0462;0.671;0.795;0.0994;0.151;88.055
classical;0.0811;0.0122;4;-32.654;0;0.0511;0.902;0.308;0.0648;0.0384;74.554
classical;0.343;0.0342;8;-25.591;1;0.0406;0.991;0.92;0.1;0.0378;60.228
classical;0.109;0.106;8;-21.555;1;0.0392;0.82;0.816;0.102;0.0334;88.285
classical;0.211;0.00756;7;-33.123;1;0.0455;0.994;0.89;0.0734;0.0391;118.247
classical;0.102;0.0449;2;-23.95;1;0.0388;0.972;0.771;0.0646;0.0334;90.459
classical;0.102;0.0733;10;-24.133;0;0.0488;0.974;0.859;0.28;0.0308;73.954
classical;0.099;0.279;7;-12.939;0;0.0346;0.743;0.903;0.114;0.0464;89.755
classical;0.253;0.224;7;-12.908;1;0.0321;0.937;0.88;0.116;0.107;76.652
classical;0.238;0.0815;2;-22.5;1;0.045;0.983;4.01e-05;0.279;0.0414;128.52
classical;0.0783;0.0523;5;-23.247;1;0.0471;0.896;0.945;0.0806;0.0327;82.015
classical;0.285;0.428;3;-11.916;1;0.0436;0.852;0.506;0.114;0.48;159.082
classical;0.0959;0.00714;5;-36.544;1;0.0427;0.92;0.0281;0.106;0.0532;70.474
classical;0.322;0.184;0;-18.312;0;0.0338;0.984;0.902;0.0813;0.356;107.847
classical;0.5;0.0123;5;-30.17;1;0.0712;0.995;0.954;0.0748;0.313;130.128
classical;0.0752;0.0604;7;-23.96;0;0.0485;0.957;0.902;0.0889;0.034;76.509
classical;0.263;0.0764;0;-21.459;1;0.04;0.943;0.815;0.0793;0.159;102.938
classical;0.364;0.0592;2;-21.757;1;0.057;0.978;0.0;0.0823;0.185;123.789
classical;0.101;0.115;5;-17.553;1;0.0392;0.769;0.891;0.406;0.0374;84.976
classical;0.253;0.098;11;-19.878;0;0.0437;0.93;0.862;0.122;0.062;84.865
classical;0.291;0.119;11;-20.493;1;0.0439;0.972;0.51;0.296;0.0571;125.103
classical;0.204;0.0367;0;-25.506;0;0.0577;0.948;0.12;0.118;0.097;74.222
classical;0.123;0.225;4;-16.798;1;0.0351;0.73;0.509;0.0658;0.055;78.132
classical;0.265;0.043;11;-27.863;1;0.0396;0.994;0.89;0.115;0.0717;110.909
classical;0.465;0.128;9;-17.628;0;0.0519;0.978;0.271;0.0423;0.428;111.471
classical;0.308;0.247;9;-15.862;1;0.0441;0.975;0.769;0.0968;0.113;74.147
classical;0.259;0.0625;7;-21.294;1;0.0483;0.983;3.59e-06;0.1;0.182;76.588
classical;0.114;0.0701;4;-23.417;0;0.0445;0.87;0.431;0.0916;0.0371;89.33
classical;0.191;0.188;7;-18.55;1;0.0467;0.954;0.503;0.147;0.0653;84.689
classical;0.134;0.104;9;-26.546;1;0.0613;0.986;0.927;0.331;0.0989;81.295
classical;0.0811;0.0025;9;-39.706;0;0.0429;0.92;0.305;0.134;0.071;54.59
classical;0.642;0.391;9;-13.798;1;0.0324;0.94;0.943;0.0696;0.711;101.38
classical;0.172;0.0362;4;-22.325;0;0.0414;0.982;0.0235;0.111;0.0366;138.045
classical;0.241;0.122;7;-22.411;1;0.0497;0.925;0.66;0.126;0.187;66.325
classical;0.347;0.264;4;-15.162;1;0.043;0.92;0.9;0.093;0.449;97.695
classical;0.194;0.0545;4;-24.877;1;0.0366;0.983;0.945;0.0551;0.0385;140.966
classical;0.529;0.319;9;-12.937;1;0.0554;0.908;0.249;0.0424;0.589;111.657
classical;0.373;0.0316;4;-26.526;1;0.0398;0.955;0.185;0.189;0.166;76.006
classical;0.207;0.102;1;-17.365;1;0.0384;0.974;0.542;0.104;0.303;82.319
classical;0.279;0.00461;2;-36.886;0;0.0439;0.989;0.982;0.0638;0.039;69.813
classical;0.0966;0.0381;1;-30.348;0;0.0417;0.994;0.766;0.107;0.0346;87.109
classical;0.146;0.0701;10;-23.551;0;0.0428;0.941;0.388;0.316;0.0329;98.076
classical;0.209;0.125;4;-15.767;1;0.0414;0.967;0.646;0.088;0.0382;84.937
classical;0.479;0.172;2;-22.543;1;0.0634;0.994;0.92;0.138;0.715;199.596
classical;0.151;0.0639;11;-24.404;0;0.0439;0.962;0.603;0.466;0.0797;61.577
classical;0.209;0.101;0;-19.383;1;0.0403;0.927;0.9;0.0776;0.153;85.851
classical;0.0979;0.0801;8;-19.643;1;0.0458;0.941;0.431;0.115;0.0608;75.314
classical;0.191;0.0637;9;-26.202;1;0.0422;0.981;0.533;0.117;0.0327;100.714
classical;0.197;0.0911;2;-21.511;1;0.0455;0.926;0.721;0.119;0.133;120.682
classical;0.149;0.16;5;-17.345;1;0.0443;0.991;0.823;0.1;0.0782;71.585
classical;0.134;0.0546;0;-26.69;1;0.0574;0.984;2.15e-05;0.111;0.0479;74.341
classical;0.331;0.169;9;-19.859;1;0.0325;0.994;0.886;0.121;0.258;97.836
classical;0.31;0.23;2;-18.279;1;0.0467;0.799;0.00375;0.0854;0.517;76.356
classical;0.444;0.00655;11;-31.751;0;0.0422;0.994;0.869;0.0675;0.341;97.541
classical;0.143;0.369;0;-14.263;1;0.0425;0.772;0.9;0.0696;0.396;75.465
classical;0.0683;0.207;7;-21.828;1;0.0489;0.887;0.928;0.762;0.0379;58.339
classical;0.277;0.112;7;-20.692;0;0.0354;0.988;0.89;0.0949;0.143;75.322
classical;0.17;0.00579;8;-29.068;1;0.0453;0.969;0.0697;0.59;0.035;96.844
classical;0.161;0.0988;9;-22.907;0;0.037;0.991;0.000255;0.0767;0.0488;132.28
classical;0.593;0.194;0;-16.866;1;0.0412;0.556;0.0;0.0784;0.524;116.419
classical;0.458;0.0844;11;-15.553;0;0.0513;0.95;0.268;0.0844;0.237;114.196
classical;0.278;0.00897;10;-35.603;1;0.0328;0.986;0.781;0.0717;0.598;110.174
classical;0.113;0.113;8;-24.447;1;0.0464;0.995;0.925;0.0647;0.0367;81.114
classical;0.245;0.106;9;-20.975;0;0.0377;0.98;0.177;0.179;0.0398;71.358
classical;0.33;0.0797;2;-21.436;1;0.0465;0.862;0.569;0.0934;0.0454;138.162
classical;0.164;0.156;9;-20.916;1;0.0423;0.995;0.445;0.0915;0.0396;136.432
classical;0.33;0.0994;2;-20.459;0;0.0341;0.909;0.852;0.201;0.193;110.595
classical;0.313;0.11;2;-20.664;0;0.041;0.976;0.114;0.125;0.0952;137.488
classical;0.173;0.0446;9;-28.398;0;0.0496;0.987;0.00196;0.0994;0.0624;70.054
classical;0.189;0.041;9;-20.634;0;0.0468;0.989;0.562;0.131;0.0399;70.061
classical;0.371;0.0814;10;-19.738;0;0.0416;0.933;1.82e-05;0.32;0.32;120.264
classical;0.21;0.167;5;-17.03;1;0.04;0.977;0.000422;0.0961;0.0577;93.041
country;0.595;0.653;7;-4.935;1;0.0265;0.246;0.0;0.264;0.542;128.93
country;0.746;0.443;4;-11.305;1;0.0359;0.663;0.0;0.223;0.554;91.11
country;0.635;0.758;7;-5.772;1;0.0243;0.00643;0.0;0.229;0.322;113.002
country;0.677;0.724;2;-8.992;1;0.0245;0.143;0.000101;0.158;0.697;90.392
country;0.783;0.698;3;-8.268;1;0.0323;0.522;2.52e-06;0.0754;0.758;124.996
country;0.698;0.632;9;-6.508;1;0.0247;0.554;0.0;0.118;0.458;102.408
country;0.771;0.848;2;-7.365;1;0.035;0.108;0.0;0.35;0.803;115.642
country;0.561;0.543;1;-8.498;1;0.0324;0.26;0.0;0.124;0.243;139.803
country;0.68;0.589;0;-10.01;1;0.0247;0.152;0.0;0.378;0.696;93.865
country;0.644;0.868;10;-3.98;1;0.0464;0.183;0.0;0.322;0.642;134.38
country;0.759;0.723;0;-9.315;1;0.028;0.173;0.0;0.179;0.962;136.746
country;0.713;0.692;7;-8.554;1;0.0365;0.432;0.0;0.271;0.884;140.561
country;0.6;0.242;0;-12.63;1;0.031;0.697;0.0;0.128;0.3;106.616
country;0.856;0.517;6;-9.232;0;0.0293;0.563;0.000164;0.144;0.479;118.399
country;0.5;0.665;8;-7.157;1;0.0355;0.0237;6.41e-05;0.0994;0.32;154.997
country;0.764;0.646;9;-9.424;1;0.0302;0.367;0.0;0.0849;0.877;116.141
country;0.674;0.517;11;-11.225;1;0.0726;0.226;0.0;0.0697;0.482;94.98
country;0.711;0.491;7;-10.323;1;0.0295;0.381;9.12e-06;0.249;0.671;121.294
country;0.486;0.633;9;-8.414;1;0.0365;0.176;0.0;0.312;0.669;162.158
country;0.744;0.637;6;-4.483;1;0.0241;0.337;0.000222;0.0696;0.785;100.511
country;0.499;0.825;6;-5.146;1;0.177;0.13;0.0;0.306;0.753;185.069
country;0.712;0.63;9;-6.202;1;0.0299;0.257;6.65e-05;0.0999;0.768;118.378
country;0.699;0.837;2;-5.173;1;0.0428;0.103;0.0;0.231;0.348;95.493
country;0.569;0.782;10;-5.868;1;0.0491;0.105;0.0;0.13;0.595;150.631
country;0.708;0.524;5;-12.644;1;0.0352;0.0551;3.21e-06;0.0371;0.69;111.482
country;0.64;0.852;2;-6.406;1;0.028;0.0907;0.0;0.151;0.903;139.949
country;0.536;0.65;2;-5.603;1;0.0337;0.282;1.16e-06;0.0876;0.288;147.93
country;0.603;0.852;7;-5.166;1;0.0463;0.0137;0.0;0.513;0.655;124.091
country;0.687;0.648;4;-9.137;1;0.027;0.314;1.37e-06;0.289;0.6;121.341
country;0.525;0.693;0;-6.972;1;0.0327;0.046;9.55e-06;0.247;0.363;107.012
country;0.7;0.896;2;-2.276;1;0.191;0.108;0.0;0.453;0.817;102.065
country;0.583;0.812;10;-4.684;1;0.0299;0.131;0.0;0.201;0.408;89.992
country;0.325;0.143;2;-12.218;1;0.033;0.469;0.000221;0.101;0.179;110.823
country;0.664;0.706;2;-7.045;1;0.027;0.129;1.06e-06;0.0857;0.681;93.968
country;0.58;0.816;4;-5.165;1;0.0726;0.132;0.0;0.0776;0.814;89.938
country;0.596;0.706;2;-5.562;1;0.0262;0.351;0.0;0.36;0.704;146.088
country;0.62;0.852;1;-4.203;1;0.0308;0.0108;4.94e-06;0.279;0.479;90.038
country;0.398;0.804;11;-5.559;1;0.0451;0.175;0.0;0.181;0.709;186.752
country;0.716;0.72;5;-2.183;1;0.0319;0.307;0.0;0.135;0.464;122.512
country;0.52;0.333;2;-11.508;1;0.0302;0.816;0.0;0.188;0.198;74.165
country;0.494;0.861;5;-5.236;1;0.0365;0.257;0.0;0.103;0.668;172.052
country;0.715;0.775;0;-6.613;1;0.0433;0.354;0.0;0.144;0.803;106.013
country;0.56;0.239;4;-16.732;1;0.0347;0.473;1.37e-05;0.0565;0.601;201.672
country;0.385;0.443;7;-9.627;0;0.0295;0.0632;0.0;0.0898;0.275;151.278
country;0.585;0.793;7;-3.713;1;0.0322;0.351;0.0;0.3;0.732;133.839
country;0.582;0.952;5;-3.848;1;0.0731;0.00324;0.0;0.223;0.655;103.027
country;0.64;0.639;9;-10.11;1;0.0331;0.134;0.0;0.178;0.593;109.263
country;0.713;0.768;2;-6.702;1;0.0363;0.22;0.0;0.177;0.878;125.203
country;0.533;0.585;4;-9.789;1;0.0337;0.199;0.0;0.11;0.472;83.403
country;0.697;0.535;4;-6.504;1;0.068;0.247;0.0;0.569;0.594;82.959
country;0.5;0.225;0;-10.22;1;0.0302;0.842;0.0;0.112;0.355;173.788
country;0.495;0.695;9;-6.929;1;0.0318;0.437;0.00048;0.0734;0.496;73.656
country;0.648;0.766;9;-8.514;1;0.0326;0.232;1.54e-05;0.121;0.971;128.798
country;0.619;0.507;5;-7.677;1;0.0335;0.71;0.0;0.258;0.694;77.995
country;0.733;0.589;7;-7.37;1;0.1;0.0476;5.85e-06;0.0366;0.867;170.097
country;0.661;0.633;7;-5.986;1;0.0348;0.038;2.75e-06;0.124;0.613;81.984
country;0.536;0.754;10;-5.102;1;0.0399;0.0597;4.92e-06;0.118;0.212;139.988
country;0.496;0.602;7;-5.29;1;0.0265;0.334;0.00356;0.147;0.398;75.519
country;0.521;0.746;6;-6.173;1;0.0351;0.00985;0.0;0.0741;0.473;149.977
country;0.478;0.625;7;-5.975;1;0.0341;0.0515;0.0;0.116;0.343;160.196
country;0.646;0.479;8;-9.823;1;0.0265;0.0566;0.0;0.0517;0.674;137.703
country;0.666;0.296;3;-15.412;1;0.0247;0.691;3.73e-06;0.0552;0.392;80.006
country;0.658;0.6;7;-11.984;1;0.0326;0.0818;3.52e-06;0.0637;0.886;170.114
country;0.736;0.614;11;-11.124;1;0.0389;0.0237;5.84e-06;0.292;0.858;99.942
country;0.702;0.795;1;-4.764;1;0.0568;0.329;0.0;0.0505;0.836;83.961
country;0.572;0.449;1;-6.566;1;0.0264;0.314;0.0;0.0301;0.207;122.632
country;0.681;0.888;7;-4.635;1;0.0656;0.124;1.46e-06;0.573;0.797;151.785
country;0.537;0.66;9;-7.174;1;0.0296;0.455;0.0;0.135;0.574;148.096
country;0.493;0.297;6;-14.838;0;0.0487;0.403;0.0;0.145;0.436;90.273
country;0.608;0.798;10;-5.823;1;0.051;0.0858;0.0;0.0799;0.672;172.078
country;0.678;0.839;7;-3.617;1;0.0394;0.0379;0.0;0.0742;0.772;104.952
country;0.758;0.596;2;-7.468;1;0.0281;0.44;1.86e-05;0.132;0.859;121.207
country;0.6;0.808;4;-4.679;1;0.0403;0.208;0.0;0.196;0.809;172.016
country;0.561;0.716;8;-3.341;1;0.0291;0.0353;0.0;0.122;0.667;152.089
country;0.639;0.795;9;-6.634;1;0.0344;0.0452;0.0;0.121;0.864;142.566
country;0.581;0.717;4;-4.433;1;0.0318;0.0298;0.000186;0.243;0.316;107.884
country;0.62;0.697;11;-7.278;1;0.0498;0.0315;0.0;0.164;0.711;160.957
country;0.533;0.855;6;-2.901;1;0.0356;0.0553;0.0;0.335;0.64;102.017
country;0.689;0.582;5;-6.778;1;0.0236;0.119;0.00464;0.101;0.883;99.021
country;0.686;0.622;2;-7.31;1;0.0857;0.532;0.0;0.0511;0.982;163.245
country;0.662;0.282;5;-11.985;1;0.0242;0.651;3.88e-06;0.094;0.377;89.912
country;0.66;0.34;1;-10.113;1;0.027;0.54;0.0;0.0804;0.384;108.946
country;0.491;0.841;5;-3.579;1;0.0421;0.0471;0.0;0.0886;0.721;199.851
country;0.688;0.459;7;-9.353;1;0.0365;0.144;0.0;0.0816;0.493;75.184
country;0.554;0.577;7;-8.62;1;0.0282;0.0165;2.91e-05;0.0719;0.479;140.277
country;0.64;0.317;7;-14.229;1;0.0307;0.605;5.14e-06;0.118;0.3;125.935
country;0.65;0.862;9;-5.148;1;0.0567;0.0231;0.0;0.0728;0.541;127.946
country;0.661;0.389;10;-12.292;1;0.0301;0.393;1.04e-06;0.0902;0.515;124.147
country;0.775;0.861;0;-7.113;1;0.0295;0.188;4.2e-06;0.199;0.964;98.649
country;0.471;0.617;8;-8.394;1;0.038;0.0522;0.0;0.229;0.491;182.323
country;0.544;0.404;3;-8.751;1;0.0354;0.391;3.98e-06;0.157;0.251;129.518
country;0.666;0.521;9;-10.993;1;0.0292;0.114;0.0;0.0604;0.361;105.223
country;0.529;0.509;0;-8.926;1;0.0253;0.415;0.0;0.171;0.27;142.311
country;0.607;0.876;7;-4.117;1;0.0382;0.371;0.0;0.519;0.886;121.043
country;0.624;0.903;6;-3.046;1;0.0347;0.00824;0.0;0.309;0.724;116.99
country;0.606;0.497;4;-6.611;1;0.0277;0.348;0.0;0.275;0.362;130.739
country;0.484;0.905;10;-3.993;1;0.135;0.0936;0.0;0.286;0.767;182.058
country;0.613;0.526;3;-7.364;1;0.0306;0.373;0.0;0.137;0.412;142.055
country;0.497;0.434;0;-5.73;1;0.0296;0.333;3.11e-06;0.108;0.266;115.749
country;0.671;0.339;9;-16.098;1;0.0247;0.142;0.0;0.293;0.847;86.292
disco;0.784;0.893;7;-5.153;0;0.0923;0.3;1.57e-05;0.272;0.819;118.738
