;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;genre
99;0.204;0.0367;0;-25.506;0;0.0577;0.948;0.12;0.118;0.097;74.222;classical
100;0.595;0.653;7;-4.935;1;0.0265;0.246;0.0;0.264;0.542;128.93;country
101;0.746;0.443;4;-11.305;1;0.0359;0.663;0.0;0.223;0.554;91.11;country
102;0.635;0.758;7;-5.772;1;0.0243;0.00643;0.0;0.229;0.322;113.002;country
103;0.677;0.724;2;-8.992;1;0.0245;0.143;0.000101;0.158;0.697;90.392;country
104;0.783;0.698;3;-8.268;1;0.0323;0.522;2.52e-06;0.0754;0.758;124.996;country
105;0.698;0.632;9;-6.508;1;0.0247;0.554;0.0;0.118;0.458;102.408;country
106;0.771;0.848;2;-7.365;1;0.035;0.108;0.0;0.35;0.803;115.642;country
107;0.561;0.543;1;-8.498;1;0.0324;0.26;0.0;0.124;0.243;139.803;country
108;0.68;0.589;0;-10.01;1;0.0247;0.152;0.0;0.378;0.696;93.865;country
109;0.644;0.868;10;-3.98;1;0.0464;0.183;0.0;0.322;0.642;134.38;country
110;0.759;0.723;0;-9.315;1;0.028;0.173;0.0;0.179;0.962;136.746;country
111;0.713;0.692;7;-8.554;1;0.0365;0.432;0.0;0.271;0.884;140.561;country
112;0.6;0.242;0;-12.63;1;0.031;0.697;0.0;0.128;0.3;106.616;country
113;0.856;0.517;6;-9.232;0;0.0293;0.563;0.000164;0.144;0.479;118.399;country
114;0.5;0.665;8;-7.157;1;0.0355;0.0237;6.41e-05;0.0994;0.32;154.997;country
115;0.764;0.646;9;-9.424;1;0.0302;0.367;0.0;0.0849;0.877;116.141;country
116;0.674;0.517;11;-11.225;1;0.0726;0.226;0.0;0.0697;0.482;94.98;country
117;0.711;0.491;7;-10.323;1;0.0295;0.381;9.12e-06;0.249;0.671;121.294;country
118;0.486;0.633;9;-8.414;1;0.0365;0.176;0.0;0.312;0.669;162.158;country
119;0.744;0.637;6;-4.483;1;0.0241;0.337;0.000222;0.0696;0.785;100.511;country
120;0.499;0.825;6;-5.146;1;0.177;0.13;0.0;0.306;0.753;185.069;country
121;0.712;0.63;9;-6.202;1;0.0299;0.257;6.65e-05;0.0999;0.768;118.378;country
122;0.699;0.837;2;-5.173;1;0.0428;0.103;0.0;0.231;0.348;95.493;country
123;0.569;0.782;10;-5.868;1;0.0491;0.105;0.0;0.13;0.595;150.631;country
124;0.708;0.524;5;-12.644;1;0.0352;0.0551;3.21e-06;0.0371;0.69;111.482;country
125;0.64;0.852;2;-6.406;1;0.028;0.0907;0.0;0.151;0.903;139.949;country
126;0.536;0.65;2;-5.603;1;0.0337;0.282;1.16e-06;0.0876;0.288;147.93;country
127;0.603;0.852;7;-5.166;1;0.0463;0.0137;0.0;0.513;0.655;124.091;country
128;0.687;0.648;4;-9.137;1;0.027;0.314;1.37e-06;0.289;0.6;121.341;country
129;0.525;0.693;0;-6.972;1;0.0327;0.046;9.55e-06;0.247;0.363;107.012;country
130;0.7;0.896;2;-2.276;1;0.191;0.108;0.0;0.453;0.817;102.065;country
131;0.583;0.812;10;-4.684;1;0.0299;0.131;0.0;0.201;0.408;89.992;country
132;0.325;0.143;2;-12.218;1;0.033;0.469;0.000221;0.101;0.179;110.823;country
133;0.664;0.706;2;-7.045;1;0.027;0.129;1.06e-06;0.0857;0.681;93.968;country
134;0.58;0.816;4;-5.165;1;0.0726;0.132;0.0;0.0776;0.814;89.938;country
135;0.596;0.706;2;-5.562;1;0.0262;0.351;0.0;0.36;0.704;146.088;country
136;0.62;0.852;1;-4.203;1;0.0308;0.0108;4.94e-06;0.279;0.479;90.038;country
137;0.398;0.804;11;-5.559;1;0.0451;0.175;0.0;0.181;0.709;186.752;country
138;0.716;0.72;5;-2.183;1;0.0319;0.307;0.0;0.135;0.464;122.512;country
139;0.52;0.333;2;-11.508;1;0.0302;0.816;0.0;0.188;0.198;74.165;country
140;0.494;0.861;5;-5.236;1;0.0365;0.257;0.0;0.103;0.668;172.052;country
141;0.715;0.775;0;-6.613;1;0.0433;0.354;0.0;0.144;0.803;106.013;country
142;0.56;0.239;4;-16.732;1;0.0347;0.473;1.37e-05;0.0565;0.601;201.672;country
143;0.385;0.443;7;-9.627;0;0.0295;0.0632;0.0;0.0898;0.275;151.278;country
144;0.585;0.793;7;-3.713;1;0.0322;0.351;0.0;0.3;0.732;133.839;country
145;0.582;0.952;5;-3.848;1;0.0731;0.00324;0.0;0.223;0.655;103.027;country
146;0.64;0.639;9;-10.11;1;0.0331;0.134;0.0;0.178;0.593;109.263;country
147;0.713;0.768;2;-6.702;1;0.0363;0.22;0.0;0.177;0.878;125.203;country
148;0.533;0.585;4;-9.789;1;0.0337;0.199;0.0;0.11;0.472;83.403;country
149;0.697;0.535;4;-6.504;1;0.068;0.247;0.0;0.569;0.594;82.959;country
150;0.784;0.893;7;-5.153;0;0.0923;0.3;1.57e-05;0.272;0.819;118.738;disco
151;0.91;0.641;7;-11.316;1;0.0589;0.0258;6.42e-05;0.0642;0.903;118.533;disco
152;0.766;0.844;10;-3.851;1;0.0361;0.0261;0.605;0.18;0.835;129.323;disco
153;0.629;0.851;5;-11.182;0;0.0294;0.0309;0.303;0.0947;0.961;130.7;disco
154;0.605;0.881;9;-4.891;0;0.0462;0.0266;3.28e-06;0.81;0.965;117.178;disco
155;0.771;0.649;0;-10.375;1;0.0434;0.0137;0.00111;0.324;0.653;116.286;disco
156;0.862;0.624;3;-11.63;1;0.0565;0.0192;0.000153;0.0465;0.882;124.896;disco
157;0.88;0.395;11;-14.629;1;0.102;0.0187;3.24e-05;0.0571;0.854;117.161;disco
158;0.698;0.853;1;-9.667;1;0.0353;0.0551;0.00196;0.0388;0.879;107.347;disco
159;0.667;0.521;9;-13.212;0;0.115;0.202;6.55e-05;0.0723;0.856;117.917;disco
160;0.707;0.854;7;-8.231;0;0.0286;0.149;0.117;0.0987;0.96;114.022;disco
161;0.814;0.474;0;-12.017;1;0.0309;0.27;8.16e-06;0.599;0.956;101.241;disco
162;0.564;0.593;9;-9.245;1;0.0328;0.732;0.00366;0.343;0.766;120.753;disco
163;0.784;0.713;0;-6.865;1;0.0339;0.447;0.14;0.0904;0.97;115.443;disco
164;0.753;0.67;9;-7.738;1;0.0508;0.0588;0.0;0.033;0.897;113.012;disco
165;0.762;0.761;1;-10.117;1;0.0323;0.101;5.17e-05;0.0985;0.927;109.056;disco
